,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.17485744,11.60646907,12.14000691,12.45974635,12.10304056,11.89979582,12.08915073,12.13721659,11.97141599,11.73998646,11.48508962,11.39157238,11.63660438,11.55741671,11.17623208,10.71522774,10.87158283,10.8975553,,
Europe & Central Asia (excluding high income),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.89290144,16.65732057,13.48162695,,,,,,,,,,18.0453656,17.80074378,17.75124565,17.75418178,16.90169651,17.40254543,16.99736254,16.94150612,16.91132741,16.45778653,16.53910589,15.97035565,16.23274828,16.37324807,15.57694319,16.97201909,
Europe & Central Asia,,,,,,,,,,,,,,,,16.1797134,15.55772546,15.97500612,15.80051012,16.42449064,16.49516639,16.37210913,16.24685307,16.89420376,17.11009362,17.49037297,17.40846702,17.37173518,17.63234957,17.95624601,17.85641156,17.83701723,17.80782067,18.17165609,18.78130954,18.6690129,18.33958119,18.65977993,19.26335189,19.40385109,19.82575833,20.10960514,19.85267941,20.17157484,19.8710498,19.37609461,19.16659221,18.8773644,19.49739577,19.80086907,20.00910126,19.63483215,18.53959601,18.9223885,19.13889763,19.2293841,19.471072,19.48006303,19.20882516,19.09579278,19.27763649,19.41774116,19.33025978,19.03211417,19.63355161,19.68200801,19.44630506,
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.12323391,14.02067573,16.38905349,14.54177065,13.68930431,14.29254857,13.40088959,12.94143459,12.73586841,13.08919818,,
"Egypt, Arab Rep.",,,,,,,,,,,,,,,,,,,20.52161459,17.33138442,25.5179722,23.07109664,21.28519787,,26.24429969,21.6957606,21.08270677,18.44620253,17.25469169,16.31972789,14.57087379,14.34902597,13.83896104,13.2348643,14.73777778,18.48023005,18.76417526,19.04742857,17.62303922,17.46294682,15.96464836,,,,,13.4077593,13.34994012,13.83597775,14.0686351,15.82951271,15.34985231,15.32052485,15.66136058,14.13007625,14.0086354,12.38490476,13.49806493,12.22014085,12.5192111,,,,,,,,,
Euro area,,,,,,,,,,,,,,,,13.9923879,14.19734348,14.28541241,13.8757435,14.56279862,14.70449608,14.86188983,14.9487794,15.36657461,15.3829891,15.57474048,15.98021893,16.07703356,16.19747899,16.70864964,16.8462884,16.97583367,17.15482576,17.04379641,17.88194972,17.9772329,17.83969577,17.77715224,18.49380297,18.68172682,19.09887502,19.45555242,19.90617613,19.73726155,19.34280475,18.95804433,18.72245306,18.08999275,18.27366388,18.66274207,18.84684124,18.45340843,17.74235237,18.09805654,18.22062941,18.70643988,19.21487353,19.29126405,19.17631608,19.07086371,19.22871624,19.34356843,19.38164044,19.07721647,19.32792083,19.43646973,18.94657882,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,,,,,,,,,,,,,,,,8.965207446,9.327517677,8.586955193,8.768412348,9.028238433,8.906770679,9.506285953,9.677070691,9.677110173,9.975208217,9.234241713,10.64604646,10.59719916,12.59417953,14.44032522,15.57668027,15.40796727,16.73991009,15.7220377,15.78825013,16.03291471,14.89264397,15.11756774,,,,,,,,,,14.63597265,15.45788161,15.84276639,16.39473579,12.77318524,10.18928415,12.35525394,11.82569314,11.70629481,13.54465257,14.04823528,14.0820817,13.68383933,13.6257034,14.12549617,13.65802299,13.44625554,14.87752879,15.49617837,14.9927519,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.57993928,12.50271436,15.42765964,20.27550356,22.83901737,21.84909116,21.96718917,22.1073474,20.92459032,19.68616147,19.23470511,19.62860403,19.82401846,20.22819089,19.09665573,19.95599051,20.26080341,19.38705772,21.71767825,20.18862598,19.44611043,20.16209938,20.23959321,20.70468899,21.5659169,21.67740271,20.86809166,20.8332766,21.06264657,20.72159846,21.74039237,21.01668628,21.42148782,
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.428884348,7.269236842,5.464440208,5.767995635,7.491337921,8.224320204,8.734556382,10.2666069,10.98798899,10.61984791,,8.083871673,9.709831679,9.116895507,9.680762203,8.724416385,8.262845855,7.812529666,7.814144254,6.581181381,8.16344108,9.209358617,9.377594715,8.764725377,8.811955393,8.351338267,8.087063209,7.603929385,7.51992183,6.661738278,6.196300687,5.324725962,4.49688509,3.931058227,3.40756799
European Union,,,,,,,,,,,,,,,,,14.73994548,14.804348,14.33342328,15.09345068,15.26731913,15.36799699,15.39405242,15.76138085,15.81058963,15.92773574,16.35962763,16.49480385,16.70619876,17.22891925,17.44353089,17.56430155,17.64595586,17.78898868,18.41190485,18.3593529,18.16632353,18.23179318,19.29351088,19.42657233,19.77496247,20.15388706,20.49207381,20.28841282,19.77371986,19.4106226,19.24656662,18.65546644,18.91775914,19.25714966,19.53801437,19.12139178,18.37821076,18.70918679,18.80140174,19.22425348,19.6795176,19.8079189,19.69629039,19.62080698,19.75789711,19.81815462,19.88663492,19.58208255,19.8756163,19.84752788,19.24756864,
Fragile and conflict affected situations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,,,,,,,,,,,,,,,,21.76358096,22.00175983,21.34637756,22.1574909,24.69986805,24.21834637,22.41668061,21.18587704,21.45620247,22.53111057,22.16801138,22.3450781,22.74606222,23.48593825,23.9809213,22.67334445,24.19363666,24.65258657,24.41723931,24.43546309,24.88283103,22.44496463,23.13488514,20.72236781,21.93337713,22.6246795,22.71757272,22.39218839,24.25028962,21.89222269,22.47440043,22.06322422,21.81478005,21.7956348,21.42472854,21.06661535,20.49234761,18.88408947,18.60088123,20.05261693,20.20181856,20.72708689,20.73595492,20.58689198,20.98721937,20.88106237,20.96418792,20.78459487,20.00575328,20.82978244,21.19939129,25.38180672,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.75707071,21.87169442,21.59256686,21.40218038,21.4900303,22.20614241,21.20782003,,,,,,,,22.3492148,21.5360119,23.38627925,19.20966984,22.71362931,21.74935566,21.82256442,22.91709332,22.89257614,23.47566275,23.97667942,24.87005299,23.53462354,24.66994207,23.99335342,22.82383155,17.1846695,15.86211299,18.52697345,20.66866836,
France,,,,,,,,,,,,,,,,18.84877016,17.98614106,19.03680052,17.92306199,19.03584768,18.39968778,18.43857831,19.00924169,19.47967028,19.57000982,19.82821424,19.67306824,19.77799962,19.86396377,19.82744644,20.03908991,19.36487154,19.06349035,18.9060036,19.07322928,18.62353606,18.50201707,19.19648766,19.59667406,20.53210104,21.20509662,23.17520769,23.78734012,23.53060259,23.56325449,22.76412467,22.29353057,22.32232069,22.40586904,22.66039473,22.21920976,22.08918423,20.74681061,21.98602648,21.82602512,22.60897414,23.20410117,23.15565935,23.29741198,23.14632834,23.78633496,24.30986428,24.6605264,24.78880644,23.97944454,24.53424768,23.11038059,
Faroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.288016383,4.396016049,4.661135884,4.964073105,4.891801556,5.466541557,12.54406661,5.418243679,6.137696308,10.63015125,25.83468444,19.91372183,7.031154695,,,,
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.06052433,16.05883561,15.10522888,12.83006855,11.46806371,11.0849703,10.21533638,11.47952824,12.42677785,9.490325545,,,
United Kingdom,,,,,,,,,,,,,,,,23.01848532,21.07158307,23.74607351,24.26560756,23.80069525,23.32577445,22.15422207,21.90377871,23.87606593,24.6394262,25.86613933,24.6485305,24.7776311,25.13357342,24.50068363,23.15879508,22.99074992,22.76227158,24.1512946,24.84713704,24.28031599,22.98109177,23.79709499,23.23157382,23.06501259,23.73713165,25.02511264,25.48166879,26.0891645,25.74225549,24.96158007,24.55540421,25.15232827,25.48813261,25.77039451,25.99471591,26.45808233,24.17274771,25.27339789,25.83493224,25.10306556,25.13634238,24.88051097,25.06664663,25.45503842,25.5968599,25.54671645,25.11127296,24.78542762,26.4149383,27.17314723,27.40797843,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.41484296,7.876437896,10.6237239,10.01573047,11.19127842,11.40143304,11.80467486,11.62151288,10.9223386,15.10234826,16.54260858,18.57011291,20.95528958,24.22450445,23.5093962,21.11065962,22.66140465,23.08850414,22.06259867,22.05314923,22.34774806,23.04243154,23.0135462,22.04786882,22.89727708,21.1807829,21.47289375,22.90227834,23.59921892,24.55660471
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.43679869,13.15959562,10.76865718,13.14924718,,,,,,,,17.19292789,17.49311121,18.47768613,21.75210552,21.32150832,12.53461853,13.87798455,13.89596791,12.61246152,13.3883874,14.86579036,15.36818101,10.6718365,11.25218598,11.69056321,11.05832919,11.57703128,12.24424151,11.99699591,11.34043196,12.24468673,12.29753581,,
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.825414616,8.302415538,7.369674423,7.43568715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gambia, The",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.20477998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.481533963,8.857877891,8.573917594,7.034106666,8.925745844,8.794633623,8.849341726,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.668882886,7.546688154,7.786359889,12.76309665,7.586159224,7.015790113,8.742219053,8.516349943,8.298900808,11.45673493,6.384406989,5.981846872,6.168908909,9.301943614,8.011290134,5.395099126,6.595986826,,
Greece,,,,,,,,,,,,,,,,13.08466754,12.65972069,12.81463806,12.88210947,14.29862217,14.16187849,14.48782359,14.09205256,13.96540454,12.49663628,15.14551941,15.81785082,14.16720416,14.00693206,15.81250986,16.58614279,15.31058152,13.18366022,15.33456931,,,,,18.84291512,19.07531928,20.13971172,21.23611254,22.28603069,23.30987591,21.61304652,21.87697043,20.2520438,19.62201146,20.79288237,20.31135254,20.5440647,20.48921081,20.04672123,20.43467912,22.45927139,24.95438871,24.73080469,25.39872318,25.39591076,27.0349617,26.74281917,27.10839198,25.93243597,24.99171569,25.57773596,27.66939718,26.63358261,
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.86521167,7.325686438,8.313948701,7.81982717,6.765227236,7.714731243,8.529663739,8.697669273,9.371933975,10.24715093,10.06497645,11.03867221,12.07359616,11.85839594,11.74284983,11.38438352,12.05105635,12.25524129,11.45903031,10.50468557,10.60502184,11.01784354,11.00955226,11.10229391,10.77781594,10.35825156,10.4215149,10.63557397,10.56094993,10.43539133,9.955089967,11.55889545,11.81885436,11.56786147,
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High income,,,,,,,,,,,,,,,,14.11645541,13.76917679,14.26147253,13.92790545,14.0559626,14.46689076,14.3733727,14.5666401,14.96085798,15.2911209,15.18286857,14.47868285,14.37777296,14.58551828,14.59110447,14.91324275,14.74076128,14.67863194,14.66291797,14.57830234,14.23250628,14.19036429,14.79285119,15.26493502,15.54625392,15.7936485,16.21444586,16.1859301,16.84202579,16.30830249,15.12891928,14.86050836,14.88645809,15.64808548,16.0739062,16.18605204,15.5948371,13.94252469,14.13958591,14.5347924,14.73006569,15.11415616,15.29514845,15.30111736,15.16407957,15.54695555,15.14041665,15.06581191,15.00521349,15.93731855,16.5210064,14.98302821,
"Hong Kong SAR, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,,,,,,,,,,,,,,,,10.67247887,10.82739785,11.12131464,11.08540925,11.6617215,13.09374103,7.900577115,8.137050097,8.813908611,8.643894327,,,,,,,,,,,,,,,,,,,,,,13.74646578,14.49585933,14.53495396,15.23835608,16.38500055,16.13051598,14.16197019,14.4250984,14.78797879,14.74747232,15.06324191,16.54263824,17.34447206,,,,,15.06613155,,,,
Heavily indebted poor countries (HIPC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.998595664,,11.02192068,10.74163003,11.11982051,11.27717388,11.06664164,11.59263525,11.63962385,11.8431224,11.4833338,,,,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.4957109,19.21370069,20.97973102,26.16244268,23.4907443,23.12048656,22.28413151,24.24148207,23.38891087,22.78519817,21.87851311,22.22209445,21.67049602,20.88295457,20.88501292,21.45318582,21.48582345,21.26805008,20.2751684,20.27868687,19.64392207,20.12800573,20.59687138,20.38099902,21.41364828,21.90213454,22.01662148,21.78686401,21.97301939,20.87391385,21.07085031,21.67521678,21.49228168,
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,35.13355274,33.92320856,36.63364842,34.55967169,29.85723419,34.13037826,34.14810037,33.52115156,28.83763717,28.03316163,25.46618727,23.99589355,24.92890554,24.11586166,23.09163356,22.83044389,20.88983616,20.73219643,21.7636593,22.35122157,21.37973757,20.88454061,20.68455606,20.38331658,19.91931396,19.82880977,21.3918026,23.27352482,23.34088968,22.63499581,21.07557795,22.92903194,22.87443665,23.00295155,23.22214919,23.00061726,22.84571441,22.44799236,22.23982414,22.68589593,21.3456993,23.35810462,,
IBRD only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.06953239,11.63637358,12.14447389,12.3290631,11.70892162,12.12692064,12.40421278,12.27073987,12.13431679,11.79429422,11.62938153,11.44080346,11.58440131,11.57551403,11.16913473,10.91303016,11.21260779,10.63055344,10.93161154,
IDA & IBRD total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.03594118,11.58496718,12.07969896,12.27521491,11.64594798,12.06968985,12.35478254,12.22506405,12.08216179,11.77716016,11.62527008,11.42811045,11.55853604,11.55522382,11.17713912,10.91824428,11.21057498,10.66953421,10.96583872,
IDA total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDA blend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indonesia,,,,,,,,,,,,,,,,12.44522349,13.81526342,15.9693687,16.55526992,17.89004765,17.72159889,17.89325596,20.28389965,21.77983836,21.94643419,20.05614379,18.82286533,17.48438914,18.75089737,14.62076982,15.0836946,15.08393805,15.95720183,19.13708376,17.18969691,17.1229527,14.35642033,15.94841919,14.96477227,14.23480194,16.01184841,15.02758818,16.31583561,,11.57818458,11.82695959,12.38553206,12.3307679,,,,13.31061783,11.05778652,,,,,,,,,,,,,,,
IDA only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.614065097,9.793945213,10.27462643,10.19954248,10.10553463,10.39485939,10.6066996,10.26462913,10.4954708,10.47417507,10.84827047,10.33647077,10.57296981,,,
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,,,,8.181120885,9.024502908,9.181837991,8.597094206,9.30227453,9.689048923,9.026071739,9.213690315,9.269121352,9.268497406,9.306539864,10.07541854,10.42730886,10.40830997,10.35673801,10.46834451,9.993591396,10.17092242,9.805228442,8.53523362,8.981772016,9.226824691,9.231468691,9.008577733,8.113143511,8.638300028,8.810143496,8.079454445,8.676273931,9.108084322,9.570817081,10.08093153,11.12933705,12.10834699,10.97717215,9.809725406,10.38803979,10.1773872,10.83677172,11.00162569,9.984654191,10.56970905,11.14773842,11.38744398,12.01742775,,,,6.73444286,,
Not classified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,,,,,,,,,,,,,,,,21.85998942,22.16929601,21.99726478,21.29561857,23.66494353,22.53302959,22.10937176,21.96423999,24.22688222,25.31422791,26.38442194,27.53525706,28.11945002,27.20557818,27.3535413,27.44805009,28.75125823,25.82915368,25.35991919,25.62922566,25.93238599,25.84053316,27.05650385,26.52658918,27.21103748,26.87358515,26.49432841,26.65105997,26.34994041,24.20823815,23.51684578,24.16073918,25.06972308,25.45714024,26.81881277,25.93716835,23.81094122,22.06237618,21.83289692,21.64641693,22.30656444,22.44218984,22.46044268,18.11123059,18.63085827,17.61287233,17.64041147,17.35666999,15.90519831,16.5930206,16.785703,,
"Iran, Islamic Rep.",,,,,,,,,,,,,,,,8.265513269,7.547810911,5.417790964,8.194078453,7.562058504,8.216323008,8.870858569,5.993374742,5.170284876,6.9790356,5.922931727,6.03398097,6.437096596,7.329809638,6.784250891,6.005338425,5.434552423,5.369750444,5.572236546,6.161890812,6.881180646,3.860245992,4.371236116,6.220798678,7.94631514,10.1579621,8.644376054,8.327823337,5.861282096,5.746903558,4.994377712,5.20132535,5.195323352,6.657593715,6.217681409,5.937687689,6.197809288,7.358478041,,,,,,,,,,,,,,,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.914773293,1.321196149,2.077805236,2.687030207,1.984007163,1.344593618,,,,,
Iceland,,,,,,,,,,,,,,,,22.8181417,22.8736844,23.77127281,22.88233219,21.77024549,20.74879635,21.14889515,21.89795822,21.21163947,22.55161853,22.95069194,20.5732603,20.94470805,20.1044476,20.30388989,20.69383402,22.30586447,23.44165487,23.50750725,22.8569209,23.1609552,22.50635057,22.25478828,22.51334735,23.44783663,21.99690358,23.95522834,25.86039431,25.10557259,22.76406737,22.59271182,23.67708233,24.76632097,27.24299312,26.89713758,25.95849178,22.79777458,19.93353865,20.22643799,20.58217743,21.50330708,21.6567855,24.49195998,22.68944412,37.61284979,23.9232132,22.97836107,21.93201342,22.40161375,21.4357063,22.52622841,23.34138637,
Israel,,,,,,,,,,,,,,,,24.39670331,23.10424569,29.11613804,28.91050626,32.11887521,33.41163358,31.56965549,35.91372399,34.12710824,32.69649012,37.07957888,37.06209731,35.60040096,33.44311167,32.52238045,29.93671856,28.26845059,26.51093377,25.54028917,19.13996388,25.35999049,25.69998658,26.15329461,25.72647773,25.16482347,25.5649158,24.71227354,24.66144524,26.29370814,25.83327812,24.85004526,24.11858026,24.02971983,24.49302734,25.27769125,25.21444939,23.2083038,21.24636292,21.96367291,22.19457854,21.60460301,22.50192654,22.80496328,23.06290833,23.05384566,24.22776252,22.71927424,22.216156,22.03881221,24.56425674,25.00172254,22.13640603,
Italy,,,,,,,,,,,,,,,,,12.52174638,13.46713171,12.68458824,14.04102276,14.87515646,15.58605917,15.74356411,17.32831327,17.74344441,19.34370905,21.07975197,20.90764658,20.34920793,22.12539605,21.44291706,23.18696467,23.89260586,24.12213306,24.75147617,25.43917309,26.2145187,25.03629968,24.30700856,24.24720738,25.71127383,24.59253693,24.94213195,23.7479315,23.32520341,22.80220694,22.68694985,22.13878803,21.87898642,23.24292076,23.69177805,23.45790533,23.858808,23.73795594,23.69077803,24.91073389,25.1831183,24.96939397,24.83914743,25.08310523,24.69720429,24.24358642,24.66161453,24.84581098,24.87691501,24.6064132,24.83801651,
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.47813362,24.4940968,23.48648503,23.08286448,23.4680682,21.3287135,21.10316755,21.74404001,20.10919957,19.91409421,20.85185729,21.89223451,22.49466254,21.41481302,21.85901019,24.07110007,24.16749731,23.21597284,24.01438994,24.78654643,24.68475662,24.9559702,24.27817173,23.3643683,24.33289303,24.0092922,24.05323043,24.81530926,26.02668425,26.22100376,26.78106657,27.45394175,25.7094657,,,,
Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.00659158,17.94996619,22.97224684,20.91622902,19.99082,20.7086347,21.68967343,19.05572966,18.12346251,18.10878632,18.99811626,18.68048462,17.48160141,18.21793684,20.99550234,24.41516537,24.55486445,24.68985187,17.15221065,16.53035158,15.49909081,14.60823722,14.92128052,14.930515,15.43164403,14.95102562,15.02063044,14.70212424,14.72884805,14.81400157,15.98110204,17.11834633,17.4675168,17.04913019,
Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.90406209,11.41718165,11.37923694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.787220587,7.294793896,7.745369934,10.22139507,9.642300653,12.13435978,13.08323765,13.90867797,,,,,,15.71238046,18.25783421,13.31209815,16.03017776,14.19343274,9.835711552,9.924250197,10.30301138,11.71779959,11.78694274,8.318809314,9.447111363,12.06169211,11.89247741,
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.18702127,14.83948265,14.96647273,15.05246413,14.36127892,15.10010935,14.29982263,13.55464432,14.59934963,13.99311977,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.54865309,16.80166806,16.94917318,17.04628506,17.99885701,15.96383387,14.03632819,16.49126028,19.54197945,19.60846648,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.778541231,6.957652695,7.364681064,7.029501432,7.125010827,8.271641244,8.97517319,8.026520166,8.143934511,8.125935343,8.737433282,9.286384255,11.08378845,10.88849293,11.17487652,11.92783662,12.64107231,14.57064596,13.29020846,11.99276989,13.51873839,12.20354206,
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.34638814,16.8334056,16.55291802,15.9191032,19.73063788,21.52440286,18.4594645,17.9132803,22.29898559,21.52555566,21.84308064,20.25494698,17.71698444,
